Date,Open,High,Low,Close,Volume
4/28/2022 15:30:00,1404.98,1425.5,1393.05,1409.93,11820892
4/29/2022 15:30:00,1428.08,1428.08,1388.65,1395.13,8406156
5/2/2022 15:30:00,1381,1402.75,1379.03,1390.23,4369022
5/4/2022 15:30:00,1392.5,1395,1338.15,1346.83,8882792
5/5/2022 15:30:00,1361.75,1365,1316,1320.45,7942721
5/6/2022 15:30:00,1306.1,1329.5,1296.78,1310.33,9068448
5/9/2022 15:30:00,1287.47,1298.55,1253.5,1259.15,8345649
5/10/2022 15:30:00,1247.5,1263.3,1229,1237.33,9004636
5/11/2022 15:30:00,1236.33,1242.47,1210.97,1224.65,7681157
5/12/2022 15:30:00,1213.75,1217.43,1185,1199.7,9456280
5/13/2022 15:30:00,1213,1239,1207.68,1213.3,8910998
5/16/2022 15:30:00,1217.22,1240.5,1208.33,1213.6,6201594
5/17/2022 15:30:00,1217.55,1269.95,1216,1264.58,7638666
5/18/2022 15:30:00,1269.83,1285,1254.13,1269.18,7973235
5/19/2022 15:30:00,1242,1256.25,1233.03,1239.93,6783641
5/20/2022 15:30:00,1256.25,1322.2,1251,1312.23,10057508
5/23/2022 15:30:00,1315.75,1326.78,1296.5,1303.45,7039144
5/24/2022 15:30:00,1303.5,1319,1298.85,1307.93,6243086
5/25/2022 15:30:00,1317.5,1328.35,1300.75,1306,5867760
5/26/2022 15:30:00,1312.2,1317.45,1274,1293.55,8252551
5/27/2022 15:30:00,1296.53,1302.58,1270.05,1287.55,7624888
5/30/2022 15:30:00,1307.5,1337,1297.1,1332.4,6393341
5/31/2022 15:30:00,1320.7,1339.4,1307.85,1316.33,32591420
6/1/2022 15:30:00,1317.15,1327.6,1308.1,1316.75,4512079
6/2/2022 15:30:00,1317,1366.23,1317,1362.15,10211408
6/3/2022 15:30:00,1372,1408.68,1371,1389.75,11048210
6/6/2022 15:30:00,1390,1407,1375.9,1383.78,5119488
6/7/2022 15:30:00,1384.95,1395.55,1376.03,1386.38,5703333
6/8/2022 15:30:00,1386.38,1390.5,1358.15,1362.03,5759172
6/9/2022 15:30:00,1355,1401.5,1355,1399.38,7973935
6/10/2022 15:30:00,1385.95,1394.95,1350.75,1357.13,8349943
6/13/2022 15:30:00,1325,1336.4,1308.15,1331.45,8131998
6/14/2022 15:30:00,1325.03,1335.93,1306.72,1314.05,6790653
6/15/2022 15:30:00,1308.78,1318.65,1292.2,1298.15,5166738
6/16/2022 15:30:00,1311.5,1329.53,1277,1280,7896943
6/17/2022 15:30:00,1280,1312.43,1278.05,1295,11286988
6/20/2022 15:30:00,1302.5,1308.55,1260.55,1271.53,5568825
6/21/2022 15:30:00,1280,1296.7,1264.15,1292.05,5408801
6/22/2022 15:30:00,1279.05,1279.15,1250.5,1252.8,4899839
6/23/2022 15:30:00,1257.53,1262.5,1222.5,1232.47,8974475
6/24/2022 15:30:00,1240,1255.5,1234,1250.03,6571866
6/27/2022 15:30:00,1272.47,1272.47,1240.78,1246.33,7141493
6/28/2022 15:30:00,1241.05,1266.97,1241.05,1263.85,6263867
6/29/2022 15:30:00,1253.6,1298.5,1250.5,1290.08,8863172
6/30/2022 15:30:00,1290,1307.95,1283,1297.83,10666627
7/1/2022 15:30:00,1287.45,1296,1182.5,1204.35,37841671
7/4/2022 15:30:00,1189.47,1221,1183.05,1206.85,19317335
7/5/2022 15:30:00,1211.5,1232.45,1208.55,1216.63,8144239
7/6/2022 15:30:00,1210.05,1220.97,1194,1205.93,11050026
7/7/2022 15:30:00,1212.95,1216.63,1187.5,1194.05,10753423
